Titulo,Financiador,Alcance,Descripcion,FechaDeApertura,FechaDeCierre,DuracionEnMeses,Beneficios,Requisitos,MontoMinimo,MontoMaximo,Estado,TipoDeBeneficio,TipoDePerfil,EnlaceDelDetalle,EnlaceDeLaFoto
Segunda Convocatoria 2025 – Programa Difusión Tecnológica – La Araucanía,Corfo,Disponible en los siguientes territorios,"Queremos mejorar el acceso al conocimiento, tecnologías y mejores prácticas ""prospectadas"" para un conjunto de empresas, de preferencia Pymes de la region de La Araucanía, a través de actividades de difusión y transferencia tecnológica que aporten valor al desempeño productivo y a la competitividad de las empresas (Revisar resolución (E) de focalización N°84 adjunta).",20/08/2025,25/09/2025,0,"InnovaChile cofinanciará hasta el 70,0% del costo total del proyecto, con un tope de hasta $37.087.584.- (treenta y siete millones ochenta y siete mil quinientos ochenta y cuatro).",Tener RUT chileno,0,0,Disponible en los siguientes territorios,"InnovaChile cofinanciará hasta el 70,0% del costo total del proyecto, con un tope de hasta $37.087.584.- (treenta y siete millones ochenta y siete mil quinientos ochenta y cuatro).",,https://corfo.cl/sites/cpp/convocatoria/pdt-la-araucania-2da-convocatoria-2025/,https://corfo.cl/sites/cpp/convocatoria/pdt-la-araucania-2da-convocatoria-2025/foto
Red de Asistencia Digital Fortalece Pymes – Región de la Araucanía – 1° CONVOCATORIA 2025,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pyme busca contribuir a que las Pymes aumenten sus ingresos y/o mejoren sus niveles de productividad. Esta convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a Turismo, Agropecuario, Silvícola, Pesca y Acuicultura, Construcción, Manufactura, Tecnologías de Información y Comunicaciones, Energía e Industrias Creativas.",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.","Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",0,0,Disponible,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-araucania-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-araucania-1ra-2025/foto.jpg
Red de Asistencia Digital Fortalece Pymes – 1° Convocatoria 2025,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pyme busca contribuir a que las Pymes de todos los sectores económicos de la región, aumenten sus ingresos y/o mejoren sus niveles de productividad a través de la adopción y utilización de tecnologías digitales en sus procesos de negocio (productivos, de gestión y/o comerciales), mediante el apoyo a la operación de proyectos ""Red de Asistencia Digital Fortalece Pyme, FPyme"", que entregarán servicios en dichos ámbitos.",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.","Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa X, etc.",0,0,En evaluación,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-los-rios-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-los-rios-1ra-2025/foto.jpg
Red de Asistencia Digital Fortalece Pymes – Región de Ñuble – 1° Convocatoria 2025,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pyme busca contribuir a que las Pymes aumenten sus ingresos y/o mejoren sus niveles de productividad. Esta convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a agropecuario – silvícola, construcción, industria manufacturera, turismo y comercio.",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.","Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",0,0,En evaluación,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,"La convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a agropecuario – silvícola, construcción, industria manufacturera, turismo y comercio.",https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-nuble-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-nuble-1ra-2025/foto
Red de Asistencia Digital Fortalece Pymes – 1° Convocatoria 2025,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pyme busca contribuir a que las Pymes aumenten sus ingresos y/o mejoren sus niveles de productividad. Esta convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos, Pymes, de todos los sectores económicos de la región, priorizando durante el primer año de ejecución la búsqueda y atención de empresas de los sectores vinculados a la minería, agricultura, manufactura y turismo.",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.","Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa X, etc.",0,0,En evaluación,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.",Pymes,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-ohiggins-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-ohiggins-1ra-2025/foto.jpg
Red de Asistencia Digital,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pyme busca contribuir a que las Pymes aumenten sus ingresos y/o mejoren sus niveles de productividad. Esta convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a la agricultura y manufactura (este último, vinculado a la agroindustria alimentaria).",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.",Tener RUT chileno,0,60000000,En evaluación,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-valparaiso-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-valparaiso-1ra-2025/foto
Red de Asistencia Digital Fortalece Pymes – Región del Maúle – 1° Convocatoria 2025,CORFO,Disponible en los siguientes territorios,"La Red de Asistencia Digital Fortalece Pymes busca contribuir a que las Pymes aumenten sus ingresos y/o mejoren sus niveles de productividad. Esta convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a agropecuario – silvícola, manufactura, construcción y turismo.",19/08/2025,22/09/2025,22,"El cofinanciamiento cubre hasta el 80% del costo total del proyecto. El monto restante debe ser aportado por los participantes y al menos, el 5% del costo total del proyecto debe ser pecuniario.",Tener RUT chileno,0,0,En evaluación,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,"La convocatoria busca proyectos que contemplen la incorporación de tecnologías digitales en los beneficiarios atendidos de sectores económicos vinculados a agropecuario – silvícola, manufactura, construcción y turismo.",https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-maule-1ra-2025/,https://corfo.cl/sites/cpp/convocatoria/red-asistencia-digital-fortalece-pyme-maule-1ra-2025/foto
PRIMER CONCURSO PDT REGIÓN DE COQUIMBO,CORFO,Disponible en los siguientes territorios,"El objetivo es contribuir al cierre de brechas de productividad del sector empresarial, de preferencia Pymes, de la región de Coquimbo, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común.",14/08/2025,15/09/2025,15,"InnovaChile cofinanciará hasta el 70,0% del costo total del proyecto, con un tope de hasta $90.000.000.- (noventa millones de pesos).",Tener RUT chileno,0,9000000,Disponible,InnovaChile,Pymes,https://corfo.cl/sites/cpp/convocatoria/primer-concurso-pdt-coquimbo-2025/,https://corfo.cl/sites/cpp/convocatoria/primer-concurso-pdt-coquimbo-2025/foto
"SEGUNDO CONCURSO PDT VIENTO NORTE, COQUIMBO",CORFO,Disponible en los siguientes territorios,"El objetivo es contribuir al cierre de brechas de productividad del sector empresarial, de preferencia Pymes, a través de la difusión de tecnologías y mejores prácticas innovadoras, con el propósito de fomentar su adopción y potenciar la competitividad de un grupo de empresas de una industria o sector que enfrentan una problemática común, fomentando el triple impacto (económico, social, medioambiental).",14/08/2025,15/09/2025,0,"InnovaChile cofinanciará hasta el 70,0% del costo total del proyecto, con un tope de hasta $90.000.000. (noventa millones de pesos).",Tener RUT chileno,0,0,Disponible,InnovaChile,Pymes,https://corfo.cl/sites/cpp/convocatoria/segundo-concurso-pdt-viento-norte-coquimbo-2025/,https://corfo.cl/sites/cpp/convocatoria/segundo-concurso-pdt-viento-norte-coquimbo-2025/foto
RED DE FOMENTO SOSTENIBLE – CONVOCATORIA 2025,CORFO,Disponible en los siguientes territorios,"Queremos que las Pymes puedan aumentar sus ingresos y/o mejoren su productividad, a través del acceso a servicios de extensionismo tecnológico que les permitan adoptar y utilizar tecnologías, mediante el cofinanciamiento de la operación de proyectos ""Red de Fomento Sostenible"" que entregarán servicios en dicho ámbito a Pymes del sector de la construcción.",14/08/2025,22/09/2025,60,El cofinanciamiento cubre hasta el 80% del costo total del proyecto.,,Hasta $900.000.000.-,Hasta $900.000.000.-,En evaluación,Cofinanciamiento,Pymes,https://corfo.cl/sites/cpp/convocatoria/red-fomento-sostenible-construccion-sustentable-2025/,https://corfo.cl/sites/cpp/convocatoria/red-fomento-sostenible-construccion-sustentable-2025/foto.jpg
