nombre,entidad,alcance,beneficiarios,fecha_inicio,fecha_fin,monto,url_detalle,descripcion,categoria,postulacion_inicio,postulacion_cierre,resultados,firma_convenios
Fondo de la Música: Programa de Apoyo a las Orquestas Profesionales Doctas,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,Persona Jurídica,25-07-2025,25-08-2025,Entre $125.000.000 y $145.000.000,https://www.fondos.gob.cl/ficha/mincap/fondomusicaorq/,"Esta convocatoria tiene por objetivo el financiamiento parcial a proyectos con el fin de apoyar el desarrollo de orquestas profesionales doctas, su funcionamiento, gestión de temporadas oficiales y de extensión, que releve la intención de fomentar y difundir obras nacionales, idealmente desde 1950 en adelante y estrenos, con el fin de crear un círculo virtuoso para la cadena de valor de la música nacional, en el entendido que se trata de faros irradiadores del movimiento artístico musical y cultural en su ámbito de acción y motores de una formación profesional de excelencia para jóvenes músicos.",Arte y cultura,,,,
"FONDO CONCURSABLE PARA LAS RESIDENCIAS FAMILIARES DE NIÑOS, NIÑAS, ADOLESCENTES DEL GOBIERNO REGIONAL DE ATACAMA",Gobierno Regional de Atacama,Regional,Persona Jurídica,18-08-2025,25-08-2025,Hasta $276.600.000,https://www.fondos.gob.cl/ficha/goreatacama/fndr-2025-residencia-familiar/,"Este Fondo, a través de sus Bases Generales y especiales, regula el proceso de concursabilidad y de asignación de recursos para subvencionar las actividades mencionadas en la Glosa 07 de la Ley N°21.722 del Sector Público del año 2025, para que postulen instituciones u organizaciones funcionales privadas sin fines de lucro que administren Residencias Familiares para Niños, Niñas y Adolescentes que estén reconocidas como colaboradores acreditados por el “Servicio Nacional de Protección Especializada a la Niñez y Adolescencia”, con la finalidad de entregar subsidios para el funcionamiento de estos establecimientos.",Inclusión y desarrollo social,,,,
PAMMA INICIA PRODUCTIVO 2025,Ministerio de Minería,Nacional,Personas Naturales y Jurídicas,11-08-2025,25-08-2025,Hasta $8.000.000,https://www.fondos.gob.cl/ficha/minmineria/pamma-inicia-prod-2025/,"Apoyar a las faenas de la minería metálica, no metálica y no metálica de rocas y salinas pertenecientes a la pequeña minería o minería artesanal a nivel nacional, mediante la entrega subsidios económicos.",Emprendimiento e Innovación,,,,
FONDART REGIONAL 2026: Difusión/ Culturas de los Pueblos Originarios/ Actividades Formativas/ Creación Artística,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,Personas Naturales y Jurídicas,17-07-2025,25-08-2025,Entre $12.000.000 y $25.000.000,https://www.fondos.gob.cl/ficha/mincap/fondartregional/,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",Arte y cultura,,,,
"Fondart Nacional 2026: Becas Chile Crea/ Organización de muestras, ferias y encuentros/ Investigación/ Infraestructura y acceso cultural universal","Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,Personas Naturales y Jurídicas,17-07-2025,25-08-2025,Entre $7.500.000 y $75.000.000,https://www.fondos.gob.cl/ficha/mincap/fondartnacional/,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",Arte y cultura,,,,
"CONVOCATORIA SUBSIDIOS PARA FUNCIONAMIENTO DE ELEAM Y RESIDENCIAS FAMILIARES NNAJ DEL SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, TEATROS MUNICIPALES Y/O MONUMENTOS HISTÓRICOS CON ATENCIÓN A PÚBLICO - 2° LLAMADO",Gobierno Regional de Antofagasta,Nacional,Persona Jurídica,18-08-2025,27-08-2025,Hasta $60.000.000,https://www.fondos.gob.cl/ficha/goreantofagasta/subsidioeleam/,"La presente convocatoria está referida a la entrega de Subsidios para el funcionamiento de: Establecimientos de larga estadía para adultos mayores; Residencias familiares para niños, niñas, adolescentes y/o jóvenes del Servicio Nacional de Protección Especializada a la Niñez y Adolescencia; Teatros municipales y/o monumentos históricos con atención a público que operen en la región.",Participación Ciudadana,2025-08-18,2025-08-27,2025-10-10,2025-10-27
Fondart Regional 2026: Culturas Regionales,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,Personas Naturales y Jurídicas,21-07-2025,27-08-2025,Entre $8.000.000 y $25.000.000,https://www.fondos.gob.cl/ficha/mincap/fondartregional-culturas/,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",Arte y cultura,,,,
PAMMA Asistencia Técnica 2025,Ministerio de Minería,Regional,Personas Naturales y Jurídicas,13-08-2025,27-08-2025,No aplica,https://www.fondos.gob.cl/ficha/minmineria/pamma-at-2025/,"Este instrumento entregará asistencia técnica a las y los productores de la pequeña minería de las regiones de Antofagasta, Atacama y Coquimbo. Este servicio será entregado por la Universidad de Atacama, incluyendo dos líneas de trabajo especificas: Regularización ante Sernageomin y Asesoría técnica productiva.",Formación y capacitación,2025-08-13,2025-08-27,2025-10-02,2025-10-03
Galería Gabriela Mistral: Convocatoria para exhibiciones e intervenciones artísticas Galería Gabriela Mistral 2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,Persona Natural,13-06-2025,27-08-2025,$15.000.000,https://www.fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/,"Galería Gabriela Mistral tiene por objeto promover y dar visibilidad a la creación y producción nacional en artes visuales contemporáneas. Es en este contexto, que abre su Convocatoria para Exhibiciones e Intervenciones Artísticas 2026, dirigida a artistas, curadores/as, gestores/as, u otros agentes del arte contemporáneo que buscan ser parte de la programación de este espacio para el año 2026, con proyectos inéditos, individuales o colectivos. Pueden participar personas con nacionalidad chilena, o extranjeros con residencia definitiva en Chile, que cuenten con al menos 5 años de experiencia.",Arte y cultura,,,,
Fondo concursable FNDR 2025 - Productividad y Equipamiento Minero Provincia del Elqui,Ministerio de Minería,Provincial,Personas Naturales y Jurídicas,08-08-2025,27-08-2025,Entre $7.000.000 y $50.000.000,https://www.fondos.gob.cl/ficha/minmineria/fc-fndr-pe/,"La Subsecretaría de Minería se encuentra ejecutando el programa denominado “Transferencia desarrollo sostenible de la Minería de menor escala de la Región de Coquimbo”, código BIP 40036472-0, en adelante el “programa FNDR”, el cual tiene por objeto regularizar y fomentar una Minería Sustentable, bajo un desarrollo continuo e integral de la pequeña minería y minería artesanal de la Región de Coquimbo, permitiendo mejorar la productividad y condiciones de seguridad de los productores y productoras mineras en todas las aristas del ciclo minero, incorporando desafíos y soluciones de medio ambiente y género. Dentro de las estrategias de intervención del Programa, se contempla la inyección de recursos para el financiamiento de proyectos que busquen contribuir al sector de la pequeña minería y minería artesanal de la Región de Coquimbo en pos del desarrollo productivo y de la sustentabilidad del negocio minero en el corto y mediano plazo.",Emprendimiento e Innovación,2025-08-08,2025-08-27,2025-10-22,2025-10-23
"FONDO DEL PATRIMONIO CULTURAL, SERPAT (CONCURSO REGIONAL)",Servicio Nacional del Patrimonio Cultural - SERPAT,Regional,Personas Naturales y Jurídicas,17-07-2025,29-08-2025,Entre $10.000.000 y $85.000.000,https://www.fondos.gob.cl/ficha/serpat/serpat-regional/,"Para beneficiar el patrimonio cultural en todas sus formas, la Ley 21.045 dispone recursos para el financiamiento “total o parcial de proyectos, programas, actividades y medidas de identificación, registro, investigación, difusión, valoración, protección, rescate, preservación, conservación, adquisición y salvaguardia del patrimonio, en sus diversas modalidades y manifestaciones, y de educación en todos los ámbitos del patrimonio cultural, material e inmaterial, incluidas las manifestaciones de las culturas y patrimonio de los pueblos indígenas"", la gestión de este proceso se realiza a través del Fondo del Patrimonio Cultural.",Patrimonio y memoria,,,,
"PROYECTOS CIUDADANOS CON ENFOQUE DE TRANSICIÓN SOCIOECOLÓGICA JUSTA, EN LA COMUNA DE TOCOPILLA",Ministerio del Medio Ambiente,Comunal,Organizaciones,01-07-2025,01-09-2025,$10.000.000,https://www.fondos.gob.cl/ficha/mma/fpatocopilla-2025/,"A través de este Concurso, el MMA por medio del Fondo de Protección Ambiental, busca contribuir al proceso de Transición Socioecológica Justa de la comuna de Tocopilla Región del Antofagasta, por medio de la ejecución de proyectos ciudadanos, focalizados en las temáticas de Innovación en energías renovables y eficiencia energética y Adaptación al Cambio Climático, incorporando la educación ambiental como un proceso permanente.",Medio Ambiente,2025-07-01,2025-09-01,2025-11-20,2026-02-27
"PROYECTOS CIUDADANOS CON ENFOQUE DE TRANSICIÓN SOCIOECOLÓGICA JUSTA, EN LA COMUNA DE MEJILLONES",Ministerio del Medio Ambiente,Comunal,Organizaciones,01-07-2025,01-09-2025,$10.000.000,https://www.fondos.gob.cl/ficha/mma/fpamejillones-2025/,"A través de este Concurso, el MMA por medio del Fondo de Protección Ambiental, busca contribuir al proceso de Transición Socioecológica Justa de la comuna de Mejillones Región del Antofagasta, por medio de la ejecución de proyectos ciudadanos, focalizados en las temáticas de Innovación en energías renovables y eficiencia energética y Adaptación al Cambio Climático, incorporando la educación ambiental como un proceso permanente.",Medio Ambiente,2025-07-01,2025-09-01,2025-11-20,2026-02-27
