RUT,Error,RazonSocial,TipoSubtipo,Actividades,RutConfirmado
103080908,Sin resultados,,,,
131995857,Sin resultados,,,,
136923595,Sin resultados,,,,
150324971,Sin resultados,,,,
163339609,Sin resultados,,,,
210435972,Sin resultados,,,,
23556243,Sin resultados,,,,
261108267,Sin resultados,,,,
263685369,Sin resultados,,,,
271908342,Sin resultados,,,,
271910878,Sin resultados,,,,
272546622,Sin resultados,,,,
42556416,Sin resultados,,,,
45009483,Sin resultados,,,,
507412300,,ASOCIACION CHILE DISENO ASOCIACION GREMIAL,Sin Per. Juridica 311 - Sociedades de Hecho,702000 - Actividades de Consultoria de Gestion 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 941200 - Actividades de Asociaciones Profesionales 960909 - Otras Actividades de Servicios Personales N.C.P.,50.741.230-0
520005455,Sin resultados,,,,
520014225,,AGRICOLA JULIO GIDDINGS E I R L,Persona Juridica Comercial 212 - Empr. Individual Resp. Ltda.,"011101 - Cultivo de Trigo 011902 - Cultivos Forrajeros En Praderas Mejoradas o Sembradas, Cultivos Suplementarios Forrajeros 012600 - Cultivo de Frutos Oleaginosos (incluye El Cultivo de Aceitunas)",52.001.422-5
520015787,,BEATRIZ EDITH ARAYA ARANCIBIA ASESORIAS EN TECNOLOGIAS DE INFORMACION SPA,Persona Juridica Comercial 223 - Sociedad Por Acciones,"681011 - Alquiler de Bienes Inmuebles Amoblados o con Equipos y Maquinarias 681012 - Compra, Venta y Alquiler (excepto Amoblados) de Inmuebles 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 960909 - Otras Actividades de Servicios Personales N.C.P.",52.001.578-7
520035087,,SAENS POLIMEROS Y REVESTIMIENTOS LIMITADA,Persona Juridica Comercial 211 - Soc. Responsabilidad Limitada,429000 - Construccion de Otras Obras de Ingenieria Civil 439000 - Otras Actividades Especializadas de Construccion 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.,52.003.508-7
520041435,,LACTEOS CHAUQUEN SPA,Persona Juridica Comercial 223 - Sociedad Por Acciones,105000 - Elaboracion de Productos Lacteos,52.004.143-5
520043462,,CALEB OTONIEL ARAYA CASTILLO SPA,Persona Juridica Comercial 212 - Empr. Individual Resp. Ltda.,259900 - Fabricacion de Otros Productos Elaborados de Metal N.C.P. 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.,52.004.346-2
520046666,,IQUIQUE TELEVISION PRODUCCIONES TELEVISIVAS Y EVENTOS LIMITADA,Persona Juridica Comercial 211 - Soc. Responsabilidad Limitada,433000 - Terminacion y Acabado de Edificios 492290 - Otras Actividades de Transporte de Pasajeros Por Via Terrestre N.C.P. 601000 - Transmisiones de Radio 602000 - Programacion y Transmisiones de Television 731001 - Servicios de Publicidad Prestados Por Empresas,52.004.666-6
520050310,,ALEJANDRO MARIO CAEROLS SILVA EIRL,Persona Juridica Comercial 212 - Empr. Individual Resp. Ltda.,110200 - Elaboracion de Vinos 110402 - Produccion de Aguas Minerales y Otras Aguas Embotelladas 562100 - Suministro de Comidas Por Encargo (servicios de Banqueteria) 932909 - Otras Actividades de Esparcimiento y Recreativas N.C.P.,52.005.031-0
520054642,,OSCAR ALCIDES TORRES CORTES E.I.R.L.,Persona Juridica Comercial 212 - Empr. Individual Resp. Ltda.,"479909 - Otras Actividades de Venta Por Menor No Realizadas En Comercios, Puestos de Venta o Mercados N.C.P. 711003 - Servicios Profesionales de Ingenieria y Actividades Conexas de Consultoria Tecnica 712009 - Otros Servicios de Ensayos y Analisis Tecnicos (excepto Actividades de Plantas de Revision Tecnica)",52.005.464-2
533065740,,SOCIEDAD AGRICOLA Y VIVERO SAN RAFAEL LIMITADA,Sin Per. Juridica 311 - Sociedades de Hecho,013000 - Cultivo de Plantas Vivas Incluida La Produccion En Viveros (excepto Viveros Forestales),53.306.574-0
533090079,,FUNDACION DESAFIO,Sin Per. Juridica 315 - Otras Organizaciones Sin P. Juridica,"476101 - Venta Al Por Menor de Libros En Comercios Especializados 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P. 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas",53.309.007-9
533232264,,FUNDACION BASURA,Sin Per. Juridica 315 - Otras Organizaciones Sin P. Juridica,"889000 - Otras Actividades de Asistencia Social Sin Alojamiento 949903 - Fundaciones y Corporaciones, Asociaciones Que Promueven Actividades Culturales o Recreativas 949909 - Actividades de Otras Asociaciones N.C.P.",53.323.226-4
590291404,,FRIMA S A,Persona Juridica Comercial 213 - Sociedades Anonimas Cerradas,"014102 - Cria de Ganado Bovino para La Produccion de Carne o Como Ganado Reproductor 101011 - Explotacion de Mataderos de Bovinos, Ovinos, Equinos, Caprinos, Porcinos y Camelidos 492300 - Transporte de Carga Por Carretera 631100 - Procesamiento de Datos, Hospedaje y Actividades Conexas 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.",59.029.140-4
590698601,,ACCIONA CONSTRUCCION S.A. AGENCIA CHILE,Sociedades Extranjeras 411 - Entidad Sin Residencia,"421000 - Construccion de Carreteras y Lineas de Ferrocarril 422000 - Construccion de Proyectos de Servicio Publico 643000 - Fondos y Sociedades de Inversion y Entidades Financieras Similares 711001 - Servicios de Arquitectura (diseño de Edificios, Dibujo de Planos de Construccion, Entre Otros) 711003 - Servicios Profesionales de Ingenieria y Actividades Conexas de Consultoria Tecnica 773002 - Alquiler de Maquinaria y Equipo Agropecuario, Forestal, de Construccion E Ing. Civil, Sin Operarios",59.069.860-1
591087800,,ENYSE AGENCIA CHILE S A,Sociedades Extranjeras 411 - Entidad Sin Residencia,421000 - Construccion de Carreteras y Lineas de Ferrocarril,59.108.780-0
591981404,Sin resultados,,,,
592803909,,ANGLO AMERICAN TECHNICAL & SUSTAINABILITY SERVICES LTD - AGENCIA EN CHILE,Sociedades Extranjeras 416 - Agencia,711002 - Empresas de Servicios de Ingenieria y Actividades Conexas de Consultoria Tecnica 829900 - Otras Actividades de Servicios de Apoyo A Las Empresas N.C.P.,59.280.390-9
592819600,,LABORELEC LATIN AMERICA,Sociedades Extranjeras 416 - Agencia,469000 - Venta Al Por Mayor No Especializada 721000 - Investigaciones y Desarrollo Experimental En El Campo de Las Ciencias Naturales y La Ingenieria,59.281.960-0
606050003,,INSTITUTO ANTARTICO CHILENO,Instituciones Fiscales 517 - Org. Administracion Publica,841100 - Actividades de La Administracion Publica En General,60.605.000-3
607030006,,INSTITUTO NACIONAL DE ESTADISTICAS,Instituciones Fiscales 517 - Org. Administracion Publica,841100 - Actividades de La Administracion Publica En General,60.703.000-6
60711000,Sin resultados,,,,
